pop,FGC,clit,exc,inf,MGC,cir,sup,marit_comp,sex_norms,segr_adol,trans_resid,desc,sub_econ,agric_inten,marr_tr,juris_hier,class,caste,high_gods
Nama,0,0,0,0,0,0,0,2,4,2,1,1,4,1,4,2,2,1,1
Kung,0,0,0,0,0,0,0,2,1,2,2,6,1,1,2,1,1,1,3
Tsonga,1,1,0,0,1,1,0,4,6,3,1,1,6,3,1,3,4,1,NA
Lozi,0,0,0,0,0,0,0,5,NA,NA,1,5,7,5,3,4,4,1,2
Umbundu,1,1,0,0,1,1,0,5,NA,2,1,2,6,3,1,3,4,1,2
Suku,0,0,0,0,1,1,0,5,NA,2,1,3,6,3,1,4,4,1,2
Bemba,0,0,0,0,0,0,0,4,1,3,2,7,6,3,2,3,4,1,3
Nyakyusa,0,0,0,0,0,0,0,5,1,5,2,7,7,5,1,3,1,1,2
Hadza,0,0,0,0,0,0,0,2,NA,NA,2,6,1,1,1,1,1,1,1
Luguru,1,0,1,0,1,1,0,2,6,NA,3,3,6,3,1,1,1,2,2
Kikuyu,1,1,1,0,1,0,1,5,NA,5,1,1,7,5,1,1,2,1,3
Ganda,0,0,0,0,0,0,0,5,3,2,2,1,7,5,1,4,4,1,2
Efe_Pygmy,0,0,0,0,1,1,0,2,6,4,2,6,3,1,5,1,1,1,1
Mongo_Nkundo,1,0,1,0,1,1,0,5,6,2,1,2,6,3,1,3,1,3,2
Tunen,0,0,0,0,1,1,0,5,NA,NA,1,1,6,3,5,1,1,1,2
Tiv,0,0,0,0,1,1,0,5,4,1,1,7,6,3,5,2,1,1,1
Igbo,1,0,1,0,1,1,0,5,3,1,1,1,6,3,1,2,1,1,2
Ashanti,0,0,0,0,0,0,0,5,2,3,1,2,6,3,1,3,4,1,2
Mende,1,0,1,0,1,1,0,5,NA,5,1,1,6,3,1,2,4,1,2
Wolof,0,0,0,0,1,1,0,5,3,1,1,2,6,3,1,3,5,2,4
Bambara,1,1,1,1,1,1,0,5,NA,NA,1,1,7,5,1,2,4,2,1
Fulani,0,0,0,0,1,1,0,5,6,2,1,1,4,2,1,2,1,1,4
Hausa,1,0,0,1,1,1,0,5,3,2,1,1,7,6,1,4,5,2,4
Masana,0,0,0,0,0,0,0,5,NA,5,1,1,7,6,1,1,1,1,2
Shilluk,0,0,0,0,0,0,0,5,3,2,1,1,6,3,1,2,5,1,2
Maasai,1,0,1,1,1,0,1,5,6,5,1,1,4,1,1,2,1,2,NA
Konso,0,0,0,0,1,0,1,2,2,2,2,1,7,5,6,1,2,2,2
Somali,1,0,0,1,1,0,1,5,3,5,1,1,4,5,1,3,2,2,4
Amhara,1,1,0,0,1,1,0,1,2,1,2,6,7,5,6,4,5,2,4
Tuareg,0,0,0,0,1,1,0,1,3,1,1,3,4,6,1,3,3,4,4
Berber,0,0,0,0,1,1,0,2,3,1,1,1,7,5,1,2,2,2,4
Egyptian,1,1,1,0,1,1,0,2,2,1,1,1,7,6,1,4,5,4,4
Mizrahi_Jew,0,0,0,0,1,1,0,2,2,1,1,1,7,5,1,3,4,1,4
Rwala_Bedouin,0,0,0,0,1,1,0,5,2,1,1,7,4,1,1,2,2,2,4
Turk,0,0,0,0,1,1,0,2,2,1,1,1,7,5,1,4,5,1,4
Albanian,0,0,0,0,0,0,0,6,2,1,1,7,7,5,1,3,1,NA,4
Latin,0,0,0,0,0,0,0,1,NA,1,2,6,7,5,7,5,5,1,1
Basque,0,0,0,0,0,0,0,1,3,1,2,6,7,5,7,4,5,1,4
Irish,0,0,0,0,0,0,0,1,2,1,1,6,7,5,7,3,5,1,4
Saami,0,0,0,0,0,0,0,1,4,1,2,6,4,1,6,1,2,1,4
Nenets,0,0,0,0,0,0,0,2,1,1,1,1,4,1,1,1,2,1,3
Russian,0,0,0,0,0,0,0,1,3,1,2,6,7,6,4,5,5,1,4
Abkhaz,0,0,0,0,0,0,0,2,2,NA,1,1,4,5,4,2,5,1,4
Armenian,0,0,0,0,0,0,0,1,6,1,2,6,7,5,7,4,2,1,4
Kurd,1,1,0,0,1,1,0,2,2,1,1,7,7,6,1,3,4,1,4
Punjabi,0,0,0,0,0,0,0,1,2,1,1,1,7,5,7,5,4,4,4
Gondi,0,0,0,0,0,0,0,3,6,5,1,1,6,3,1,2,2,4,3
Toda,0,0,0,0,0,0,0,7,6,1,1,2,4,1,3,2,1,1,1
Santhali,0,0,0,0,0,0,0,2,2,1,1,1,7,6,1,2,1,1,2
Burusho,0,0,0,0,1,1,0,2,2,1,1,1,7,6,3,2,5,2,4
Kazakh,0,0,0,0,1,1,0,6,3,2,1,1,4,2,1,4,4,1,4
Khalka_Mongolian,0,0,0,0,0,0,0,1,NA,1,1,7,4,2,1,4,4,1,NA
Yi,0,0,0,0,0,0,0,2,6,1,1,1,7,5,1,1,4,NA,1
Lepcha,0,0,0,0,0,0,0,2,6,1,1,1,7,5,1,2,2,NA,3
Garo,0,0,0,0,0,0,0,2,4,2,3,3,6,3,6,2,2,1,2
Chin_Mara,0,0,0,0,0,0,0,2,4,4,1,1,6,3,1,2,4,1,4
Burmese,0,0,0,0,0,0,0,1,3,1,2,6,7,6,7,4,5,1,1
Lamet,0,0,0,0,0,0,0,2,6,5,1,1,6,3,1,1,2,1,1
Vietnamese,0,0,0,0,0,0,0,6,2,1,1,1,7,6,3,5,5,1,1
Rade,0,0,0,0,0,0,0,2,NA,1,3,3,6,3,7,1,2,1,1
Thai,0,0,0,0,0,0,0,2,3,1,2,6,7,6,3,5,2,1,2
Jehai,0,0,0,0,0,0,0,2,3,1,1,6,1,1,6,1,1,1,3
Nicobarese,0,0,0,0,0,0,0,2,6,1,2,6,6,4,6,1,1,1,NA
Andamanese,0,0,0,0,0,0,0,1,6,5,2,6,8,1,6,1,1,1,1
Vedda,0,0,0,0,0,0,0,1,3,1,3,3,1,1,3,1,1,1,1
Malagasy,0,0,0,0,1,1,0,5,6,1,1,2,7,6,3,2,4,1,2
Javanese,1,1,0,0,1,1,0,2,2,1,2,6,7,6,6,5,5,1,1
Balinese,0,0,0,0,0,0,0,2,5,1,1,1,7,6,3,4,5,4,1
Iban,0,0,0,0,0,0,0,1,3,1,2,6,6,3,6,1,1,1,1
Bajau,1,1,0,0,1,0,1,1,NA,1,2,6,2,4,1,1,2,1,NA
Toraja,0,0,0,0,1,0,1,1,NA,1,3,6,6,3,1,2,2,1,NA
Alorese,1,1,0,0,1,1,0,2,3,1,2,7,6,3,1,3,2,1,2
Tiwi,0,0,0,0,0,0,0,6,1,4,2,3,1,1,1,1,1,1,2
Arrernte,1,0,0,0,1,1,0,3,1,2,1,2,1,1,7,1,1,1,1
Kapauku,0,0,0,0,0,0,0,6,4,3,1,1,6,3,1,2,2,1,2
Manus,0,0,0,0,0,0,0,2,2,3,1,2,2,2,4,1,2,1,1
Notsi,0,0,0,0,1,0,1,2,NA,5,3,3,8,4,1,1,1,1,1
Kilivila,0,0,0,0,0,0,0,2,6,5,1,3,6,4,4,2,4,1,1
Siwai,0,0,0,0,0,0,0,2,3,1,1,3,6,4,1,1,2,1,1
Tikopia,0,0,0,0,1,0,1,5,4,1,1,7,8,4,4,2,4,1,1
Fijian,0,0,0,0,1,0,1,2,NA,NA,1,1,2,4,1,3,2,1,1
Maori,0,0,0,0,0,0,0,6,6,1,1,5,6,3,6,2,4,1,1
Marquesan,0,0,0,0,1,0,1,7,6,1,1,6,6,4,6,2,4,1,1
Samoan,0,0,0,0,1,0,1,2,6,1,2,5,6,4,4,3,4,1,2
Kiribati,0,0,0,0,1,0,1,2,2,2,2,5,8,4,4,2,4,1,2
Marshallese,0,0,0,0,0,0,0,2,6,1,3,3,2,4,6,2,4,1,1
Chuukese,0,0,0,0,0,0,0,1,6,5,3,7,8,4,6,1,1,1,1
Yapese,0,0,0,0,0,0,0,1,6,5,1,2,6,4,6,2,4,1,NA
Palauan,0,0,0,0,0,0,0,2,6,1,1,7,6,4,1,3,4,1,1
Ifugao,0,0,0,0,0,0,0,1,6,4,2,6,7,6,1,1,2,1,1
Atayal,0,0,0,0,0,0,0,1,2,1,2,7,6,3,1,2,1,1,1
Wu_Chinese,0,0,0,0,0,0,0,1,1,1,2,1,7,6,7,5,5,1,1
Manchu,0,0,0,0,0,0,0,1,NA,NA,1,1,7,5,1,NA,2,1,NA
Korean,0,0,0,0,0,0,0,1,3,1,1,1,7,6,6,3,5,2,1
Japanese,0,0,0,0,0,0,0,1,2,1,1,6,7,6,4,5,5,2,2
Ainu,0,0,0,0,0,0,0,2,6,1,2,3,2,3,6,2,1,1,1
Nivkh,0,0,0,0,0,0,0,2,3,1,1,1,2,1,1,1,1,1,2
Yukaghir,0,0,0,0,0,0,0,2,NA,1,2,6,3,1,2,1,1,1,NA
Chukchi,0,0,0,0,0,0,0,5,6,1,2,6,4,1,2,1,2,1,3
Degexitan,0,0,0,0,0,0,0,2,3,NA,2,6,2,1,6,1,2,1,2
Aleut,0,0,0,0,0,0,0,6,3,1,1,4,2,1,2,1,4,1,2
Canadian_Inuit,0,0,0,0,0,0,0,1,5,1,2,6,2,1,2,1,1,1,1
Montagnais,0,0,0,0,0,0,0,2,2,1,1,6,3,1,2,1,1,1,1
Micmac,0,0,0,0,0,0,0,2,2,1,1,6,3,1,2,2,1,1,2
Slave,0,0,0,0,1,0,1,3,4,1,2,6,3,1,2,1,1,1,2
Kaska,0,0,0,0,0,0,0,1,6,NA,3,3,2,1,2,1,1,1,1
Eyak,0,0,0,0,0,0,0,6,NA,3,1,3,2,1,2,2,2,1,1
Haida,0,0,0,0,0,0,0,2,4,3,1,3,2,1,2,1,4,1,1
Northern_Paiute,0,0,0,0,0,0,0,2,3,1,2,6,1,1,6,1,1,1,1
Comanche,0,0,0,0,0,0,0,3,NA,NA,2,6,3,1,6,1,1,1,NA
Chiricahua_Apache,0,0,0,0,0,0,0,3,2,1,2,6,1,2,6,1,1,1,1
Zuni,0,0,0,0,0,0,0,1,NA,1,3,3,7,6,6,1,1,1,1
Havasupai,0,0,0,0,0,0,0,2,NA,1,1,4,7,6,3,1,1,1,1
Papago,0,0,0,0,0,0,0,3,NA,1,1,6,7,6,6,1,1,1,4
Huichol,0,0,0,0,0,0,0,2,NA,1,2,6,6,3,6,1,2,1,NA
Nahua,0,0,0,0,1,0,1,2,3,1,1,5,7,6,3,3,5,1,3
Miskito,0,0,0,0,1,0,1,2,1,1,3,6,1,3,3,2,1,1,4
Bribri,0,0,0,0,0,0,0,1,4,1,2,3,6,3,2,1,1,1,3
Kuna,0,0,0,0,0,0,0,2,2,1,3,6,6,3,2,2,2,1,4
Wayuu,0,0,0,0,0,0,0,5,3,NA,1,3,4,2,1,1,2,1,3
Haitian,0,0,0,0,0,0,0,2,3,1,2,6,7,5,6,4,5,1,4
Warao,0,0,0,0,0,0,0,3,NA,1,3,6,1,2,2,1,1,1,4
Yanomamo,0,0,0,0,0,0,0,3,3,1,1,6,6,3,5,1,1,1,1
Mundurucu,0,0,0,0,0,0,0,2,5,5,2,1,6,3,2,1,1,1,1
Kayapo,0,0,0,0,0,0,0,1,NA,1,2,6,6,4,6,1,1,1,1
Shuar,0,0,0,0,0,0,0,6,3,1,2,6,6,3,2,1,1,1,1
Quechua,0,0,0,0,1,0,1,1,2,1,1,6,7,6,6,5,5,1,2
Aymara,0,0,0,0,0,0,0,1,4,1,1,1,6,3,6,NA,2,1,4
Siriono,0,0,0,0,0,0,0,3,6,1,3,6,3,3,6,1,1,1,2
Tupinamba,0,0,0,0,0,0,0,5,6,NA,2,6,6,3,2,2,2,1,2
Xavante,0,0,0,0,0,0,0,3,1,5,3,1,1,3,2,1,1,1,1
Kaingang,0,0,0,0,0,0,0,6,6,1,2,6,3,1,6,1,1,1,1
Kaiwa,0,0,0,0,0,0,0,1,NA,NA,1,6,6,3,6,1,1,1,NA
Mapuche,0,0,0,0,0,0,0,5,4,1,1,1,7,5,1,1,2,1,3
Tehuelche,0,0,0,0,0,0,0,2,3,1,1,6,3,1,4,1,1,1,2
Yahgan,0,0,0,0,0,0,0,2,3,NA,1,6,2,1,2,1,1,1,4
Ambulas,0,0,0,0,0,0,0,2,NA,NA,1,1,6,4,1,1,1,1,1
Adi,0,0,0,0,0,0,0,2,6,5,1,1,6,3,1,1,2,1,1
Abron,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,3,6,3,1,3,NA,NA,NA
Afar,1,0,0,1,1,1,0,5,2,NA,1,1,4,2,1,3,2,1,4
Akha,0,0,0,0,0,0,0,2,6,NA,1,1,6,3,6,1,1,1,1
Kaweskar,0,0,0,0,0,0,0,2,NA,NA,2,6,2,1,6,1,1,1,1
Algerian,0,0,0,0,1,1,0,2,2,1,1,1,7,6,1,NA,5,2,4
Ovambo,0,0,0,0,1,1,0,5,NA,2,1,3,6,3,1,3,4,1,NA
Ambon,1,1,0,0,1,1,1,1,NA,1,1,7,6,3,1,3,4,1,4
Amis,NA,NA,NA,NA,0,0,0,1,NA,5,3,3,7,6,6,1,1,1,1
Anuak,1,0,0,1,0,0,0,5,NA,2,1,1,7,5,1,2,4,NA,NA
Naga_Ao,0,0,0,0,0,0,0,1,6,5,1,1,6,3,3,1,2,1,3
Oromo,1,1,1,0,1,1,0,5,2,NA,1,1,4,3,1,3,1,2,2
Sanskrit,0,0,0,0,0,0,0,6,NA,NA,1,7,9,NA,1,NA,NA,NA,NA
Wuvulu_Aua,0,0,0,0,1,0,1,3,6,5,4,3,2,4,6,2,1,1,NA
Aweti,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA,NA,NA,NA
Bafia,0,0,0,0,1,1,0,5,4,5,1,1,6,3,1,1,1,1,NA
Bajuni,0,0,0,0,1,1,0,1,NA,1,2,1,8,3,1,1,1,2,NA
Aari,0,0,0,0,0,0,0,5,NA,NA,1,1,7,5,1,3,NA,2,2
Bamileke,0,0,0,0,0,0,0,5,NA,2,1,1,6,3,1,3,4,1,NA
Bamoun,0,0,0,0,1,1,0,5,1,NA,1,1,6,3,1,4,4,1,3
Shi,0,0,0,0,1,1,0,5,NA,NA,1,1,9,NA,1,NA,4,1,NA
Bashkort,0,0,0,0,1,1,0,2,2,NA,1,7,8,5,1,5,5,1,4
Batak_Toba,0,0,0,0,0,0,0,2,6,2,1,1,7,6,1,1,2,1,4
Gbaya,1,0,1,0,1,1,0,5,3,NA,1,1,6,3,1,1,1,1,2
Beaver,0,0,0,0,0,0,0,2,1,NA,3,6,3,1,6,1,1,1,1
Tetun,0,0,0,0,1,0,1,6,NA,1,3,3,6,3,1,2,4,3,NA
Bengali,0,0,0,0,0,0,0,2,1,1,1,7,7,6,7,5,5,4,1
Beja_Banuamir,1,0,1,1,1,1,0,2,NA,1,1,1,4,2,1,3,3,NA,4
Bhili,0,0,0,0,0,0,0,2,2,1,1,1,7,5,1,2,5,4,3
Koronadal_Blaan,0,0,0,0,NA,NA,NA,2,NA,NA,2,6,9,NA,1,NA,NA,NA,NA
Aklanon,0,0,0,0,1,0,1,1,NA,NA,2,6,9,NA,6,NA,NA,NA,NA
Garifuna,0,0,0,0,1,0,1,2,NA,1,2,5,6,4,6,1,1,1,4
Blackfoot,0,0,0,0,0,0,0,3,2,1,2,6,3,1,1,1,2,1,2
Boer,0,0,0,0,0,0,0,1,NA,1,1,6,4,5,7,3,3,3,NA
Mbesa,0,0,0,0,1,0,0,5,NA,2,1,1,6,3,1,1,1,1,NA
Bontok,0,0,0,0,1,0,1,1,6,2,2,6,7,6,2,1,3,1,NA
Mbororo_Fulani,0,0,0,0,1,1,0,5,6,1,1,6,4,3,1,1,2,NA,NA
Bozo,1,0,1,0,1,1,0,6,NA,5,1,1,2,6,1,2,1,2,4
Brazilian_Portugese,0,0,0,0,0,0,0,1,3,1,2,6,7,5,6,5,5,3,4
Buja,0,0,0,0,1,1,0,5,NA,NA,1,1,9,NA,1,NA,1,1,NA
Budu,0,0,0,0,1,0,0,5,5,2,1,1,6,3,1,1,1,1,NA
Bulgarian,0,0,0,0,0,0,0,1,NA,1,1,6,7,5,6,4,5,1,4
Mpun,0,0,0,0,1,1,0,5,NA,5,1,3,6,3,1,3,4,1,NA
Bunun,NA,NA,NA,NA,0,0,0,1,NA,NA,1,1,6,3,1,1,1,1,2
Burji,1,1,0,0,1,1,0,5,2,NA,1,1,7,5,1,NA,1,2,2
Buryat_Mongolian,0,0,0,0,0,0,0,2,NA,NA,1,1,4,NA,1,NA,4,NA,NA
Buyu,0,0,0,0,1,0,0,5,NA,5,1,3,6,3,1,3,4,1,2
Bwaidoka,0,0,0,0,NA,NA,NA,NA,NA,NA,1,5,9,NA,NA,NA,NA,NA,NA
Byelorussian,0,0,0,0,0,0,0,1,NA,1,2,6,7,5,7,5,5,NA,4
Kogi,0,0,0,0,0,0,0,2,NA,NA,3,6,6,3,2,1,2,1,2
Cahuilla,0,0,0,0,0,0,0,2,NA,NA,1,1,1,1,6,1,1,1,2
Kaqchikel,0,0,0,0,NA,NA,NA,1,NA,NA,1,1,9,NA,3,NA,4,1,NA
Kamayura,0,0,0,0,0,0,0,2,NA,2,1,6,6,3,2,1,1,1,2
Cambodian,0,0,0,0,0,0,0,2,2,1,2,6,7,6,1,4,5,1,1
Ashaninka,0,0,0,0,0,0,0,6,NA,5,2,6,6,3,6,1,1,1,2
Nung_China,0,0,0,0,NA,NA,NA,2,NA,NA,1,1,9,NA,1,NA,NA,NA,NA
Galibi,0,0,0,0,1,0,1,2,4,1,2,6,6,3,6,1,1,1,1
Saipan_Carolinian,0,0,0,0,1,1,0,1,6,5,3,3,8,4,6,1,1,1,NA
Dakelh,0,0,0,0,0,0,0,3,NA,1,3,3,8,1,1,1,4,1,3
Catawba,0,0,0,0,0,0,0,2,NA,1,2,6,7,5,6,NA,1,1,NA
Kukama_Kukamiria,0,0,0,0,0,0,0,2,NA,1,1,1,2,3,2,1,2,1,2
Shipibo,1,1,1,0,0,0,0,3,6,5,3,6,2,3,2,1,1,1,1
Cubeo,0,0,0,0,0,0,0,2,5,1,1,1,6,3,5,1,1,1,1
Cupeno,0,0,0,0,0,0,0,2,NA,NA,1,1,1,1,6,1,1,1,NA
Curripaco,0,0,0,0,0,0,0,1,NA,NA,1,6,6,3,NA,1,1,1,NA
Czech,0,0,0,0,0,0,0,1,NA,1,1,6,7,5,7,4,5,1,4
Daur,0,0,0,0,0,0,0,1,NA,NA,1,1,9,NA,1,NA,1,1,NA
Suau,0,0,0,0,1,0,1,2,NA,5,1,3,6,4,4,1,2,1,1
Dani,0,0,0,0,0,0,0,5,3,2,1,1,6,4,4,2,1,1,1
Shina,0,0,0,0,0,0,0,6,NA,1,1,1,7,5,1,3,4,4,1
Kumiai,0,0,0,0,0,0,0,4,NA,1,1,1,1,1,1,1,1,1,1
